filter,26,,,
municipio,RD,geoMesorregiao,geoMesorregiaoCorr,geoRDCorr
ABREU E LIMA,RMR - NÚCLEO NORTE,METROPOLITANA DE RECIFE,METROPOLITANA DE RECIFE,RMR - NÚCLEO NORTE
AFOGADOS DA INGAZEIRA,SERTÃO DO PAJEÚ,SERTÃO PERNAMBUCANO,SERTÃO PERNAMBUCANO,SERTÃO DO PAJEÚ
AFRANIO,SERTÃO DO SÃO FRANCISCO,SÃO FRANCISCO PERNAMBUCANO,SÃO FRANCISCO PERNAMBUCANO,SERTÃO DO SÃO FRANCISCO
AGRESTINA,AGRESTE CENTRAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE CENTRAL
AGUA PRETA,MATA SUL,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA SUL
AGUAS BELAS,AGRESTE MERIDIONAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE MERIDIONAL
ALAGOINHA,AGRESTE CENTRAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE CENTRAL
ALIANCA,MATA NORTE,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA NORTE
ALTINHO,AGRESTE CENTRAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE CENTRAL
AMARAJI,MATA SUL,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA SUL
ANGELIM,AGRESTE MERIDIONAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE MERIDIONAL
ARACOIABA,RMR - NÚCLEO NORTE,METROPOLITANA DE RECIFE,METROPOLITANA DE RECIFE,RMR - NÚCLEO NORTE
ARARIPINA,MATA SUL,SERTÃO PERNAMBUCANO,SERTÃO PERNAMBUCANO,MATA SUL
ARCOVERDE,MATA SUL,SERTÃO PERNAMBUCANO,SERTÃO PERNAMBUCANO,MATA SUL
BARRA DE GUABIRABA,AGRESTE CENTRAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE CENTRAL
BARREIROS,MATA SUL,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA SUL
